yearID,lgID,total_BB,total_2B,total_3B,total_HR,total_AB,slg,DH_rule
1970,NL,6919,2743,554,1683,66465,0.3129316181448883,No
2000,AL,8502,4269,420,2688,78547,0.3698677225100895,Yes
1985,AL,7465,3562,528,2178,77257,0.32210673466482004,Yes
1964,NL,4394,2161,427,1211,55284,0.26845018450184505,No
1959,NL,3974,1788,324,1159,42330,0.3108433734939759,No
2002,AL,7325,4218,433,2464,77788,0.346017380572839,Yes
1955,NL,4240,1677,362,1263,41773,0.32872908337921625,No
1980,NL,5969,2856,523,1243,66272,0.2749577498792854,No
1994,NL,5193,2784,377,1532,55068,0.3272317861552989,No
1946,AL,4400,1827,401,653,42239,0.28099623570633775,No
1962,AL,5671,2238,400,1552,55239,0.31780082912435054,No
2022,NL,7621,3984,348,2658,81649,0.33392938064152655,No
2016,NL,7723,4100,502,2657,82635,0.3395292551582259,No
1953,NL,4220,1777,414,1197,42639,0.32374117591875984,No
2004,NL,8736,4687,494,2846,88622,0.3495294622102864,No
1957,AL,4301,1663,307,1024,41987,0.30114082930430847,No
1968,AL,4881,1874,338,1104,53709,0.26176246066767206,No
2011,NL,8032,4394,487,2281,88119,0.31099989786538657,No
1953,AL,4462,1816,331,879,42358,0.29753529439539167,No
2006,AL,7247,4301,391,2546,78497,0.34658649375135353,Yes
1982,NL,5964,2823,445,1299,66263,0.273772693660112,No
2016,AL,7365,4154,371,2953,82926,0.34486168391095673,Yes
1969,NL,6397,2455,471,1470,65751,0.2828854314002829,No
1982,AL,7338,3493,519,2080,77886,0.310723364917957,Yes
1986,NL,6560,2991,387,1523,65730,0.3011562452457021,No
2015,AL,7047,4166,459,2634,82836,0.329470278622821,Yes
1983,AL,7094,3710,549,1903,77821,0.30548309582246436,Yes
1962,NL,5265,2075,453,1449,55449,0.29883316200472504,No
1949,AL,5622,1737,391,769,41669,0.3202620653243418,No
2022,AL,7232,3956,295,2557,81816,0.320927446954141,Yes
1960,NL,3937,1722,384,1042,42176,0.3011428300455235,No
1976,NL,6263,2652,499,1113,65814,0.26614398152368796,No
2017,NL,8044,4203,461,2935,82533,0.35831727914894645,No
1999,AL,8289,4121,419,2635,78126,0.36259375879988737,Yes
1993,NL,7104,3588,513,1956,77489,0.30511427428409194,No
1951,AL,4882,1836,349,839,42361,0.3058709662189278,No
1972,AL,5742,2260,316,1175,61712,0.2578104744620171,No
1970,AL,6808,2492,373,1746,65675,0.3029311001141987,No
2015,NL,7026,4076,480,2275,82652,0.31116004452402846,No
1968,NL,4275,1995,359,891,54913,0.23502631435179283,No
2019,AL,7916,4318,385,3478,83557,0.3784123412760152,Yes
1974,AL,6135,2564,400,1369,66044,0.2716219490036945,Yes
1979,AL,7413,3529,548,2006,76704,0.31470327492699207,Yes
2005,NL,8396,4754,468,2580,88120,0.3362233318202451,No
1975,NL,6730,2781,458,1233,66102,0.28135306042177244,No
1975,AL,6672,2662,429,1465,65371,0.29283627296507625,Yes
2006,NL,8600,4834,561,2840,88844,0.35242672549637566,No
1988,AL,7191,3558,425,1901,77005,0.30109733134212063,Yes
2013,AL,7534,4183,348,2504,83380,0.3233389301990885,Yes
2020,NL,3078,1402,126,1161,29399,0.37089696928466953,No
1992,AL,7704,3596,386,1776,77147,0.30018017550909304,Yes
2003,NL,8666,4657,491,2708,88426,0.3424897654535996,No
1994,AL,5938,2939,325,1774,55198,0.36028479292728,Yes
1963,NL,4560,1984,439,1215,54803,0.2683247267485357,No
1948,AL,5227,1846,450,710,42155,0.31097141501601233,No
1985,NL,6373,2861,437,1424,65818,0.2902245586313774,No
1952,NL,4147,1672,338,907,41878,0.2897225273413248,No
1977,AL,7270,3408,644,2013,77275,0.311484956324814,Yes
2010,AL,7367,4016,368,2209,77467,0.3270941174951915,Yes
1993,AL,8006,3861,427,2074,77506,0.32649085232111064,Yes
2018,NL,8049,3993,457,2685,82722,0.3402480597664467,No
2007,NL,8576,4898,505,2705,89489,0.34313714534747286,No
1972,NL,5985,2392,430,1359,63116,0.27718803472970405,No
2014,NL,6929,4005,459,2025,82491,0.2959838042938017,No
1961,NL,3995,1749,350,1196,42128,0.3163454234713255,No
1990,NL,6221,2967,405,1521,65968,0.2949005578462285,No
1981,AL,4761,2119,305,1062,50813,0.27870820459331275,Yes
1963,AL,5031,2114,352,1489,55011,0.2957772081947247,No
